product,price
Taro Leaves,$21.61
Syrup - Monin - Granny Smith,$12.36
Pepper - Chili Powder,$22.81
Garlic - Peeled,$5.32
Smirnoff Green Apple Twist,$27.58
Flower - Potmums,$22.50
"Red Snapper - Fillet, Skin On",$23.05
Flour - So Mix Cake White,$16.53
Crab - Imitation Flakes,$17.00
Broom - Push,$28.29
Muffin - Banana Nut Individual,$24.46
"Chicken - Leg, Boneless",$19.85
Ecolab - Hobart Upr Prewash Arm,$20.54
Island Oasis - Strawberry,$17.62
Bread - Raisin,$5.57
Wine - Chateau Timberlay,$29.01
"Coffee - Colombian, Portioned",$17.84
Daikon Radish,$18.78
Paper Cocktail Umberlla 80 - 180,$6.82
Mushroom - Chanterelle Frozen,$23.84
"Pepsi, 355 Ml",$22.23
Chinese Foods - Cantonese,$1.14
Celery Root,$9.71
Bacardi Breezer - Strawberry,$12.93
"Ice - Clear, 300 Lb For Carving",$15.85
Dried Apple,$6.85
Scallops - 20/30,$14.59
Foil Wrap,$24.60
Buffalo - Tenderloin,$3.61
Carbonated Water - Blackcherry,$14.55
Wood Chips - Regular,$21.82
"Juice - Apple, 1.36l",$26.45
"Nut - Almond, Blanched, Sliced",$7.82
Longos - Chicken Cordon Bleu,$8.44
"Juice - Grape, White",$23.54
Cheese - Marble,$16.06
"Mushroom - Shitake, Fresh",$21.60
Grenadillo,$27.89
Tarts Assorted,$16.51
Numi - Assorted Teas,$8.41
Wine - Puligny Montrachet A.,$6.28
Dill Weed - Fresh,$24.59
Tomatoes - Grape,$17.91
Rosemary - Fresh,$16.54
Maple Syrup,$6.52
Longos - Chicken Curried,$26.65
Cheese - Roquefort Pappillon,$1.93
External Supplier,$2.16
"Asparagus - Green, Fresh",$18.18
Nori Sea Weed,$23.20
"Wine - Red, Antinori Santa",$5.42
Hipnotiq Liquor,$20.22
Blueberries - Frozen,$15.00
Sprouts - Onion,$12.45
Okra,$12.82
Mustard Prepared,$1.08
Cod - Black Whole Fillet,$26.29
Butcher Twine 4r,$6.54
Veal - Kidney,$11.57
Towels - Paper / Kraft,$13.74
"Potatoes - Instant, Mashed",$1.98
Cocoa Powder - Dutched,$1.31
Fuji Apples,$26.44
Wine - Baron De Rothschild,$5.22
Barramundi,$14.08
Cornstarch,$23.40
Port - 74 Brights,$12.62
Cream - 35%,$13.63
Soup Campbells Split Pea And Ham,$8.82
Yoplait Drink,$12.21
Mushroom - Chanterelle Frozen,$25.77
"Wine - Red, Wolf Blass, Yellow",$23.30
Food Colouring - Blue,$1.80
Sprouts - Peppercress,$17.64
Salt - Sea,$24.32
Chocolate - Semi Sweet,$12.84
Rice - 7 Grain Blend,$7.48
Truffle Shells - White Chocolate,$29.27
The Pop Shoppe - Cream Soda,$19.72
"Mushroom - Oyster, Fresh",$12.41
The Pop Shoppe - Lime Rickey,$21.35
"Juice - Apple, 341 Ml",$5.90
Tuna - Loin,$13.30
Nantucket Orange Juice,$24.91
Tuna - Yellowfin,$23.23
"Lamb - Leg, Diced",$12.36
Chocolate - Chips Compound,$7.77
Zucchini - Green,$11.30
Gherkin - Sour,$19.13
Sole - Fillet,$17.97
Lettuce - Baby Salad Greens,$23.01
Toamtoes 6x7 Select,$7.70
Mace Ground,$24.48
Wine - Black Tower Qr,$22.37
Pants Custom Dry Clean,$23.76
Veal - Leg,$25.48
"Chocolate - Pistoles, Lactee, Milk",$20.28
Beans - Butter Lrg Lima,$22.82
Pepper - Yellow Bell,$27.60
Bread Roll Foccacia,$11.94
Muffin - Bran Ind Wrpd,$24.22
Rye Special Old,$25.71
Island Oasis - Lemonade,$21.13
"Soup - Campbells, Butternut",$17.47
Eggwhite Frozen,$17.63
Cookie - Dough Variety,$8.36
Numi - Assorted Teas,$20.33
Madeira,$16.60
Wine - Chardonnay South,$5.22
Jam - Apricot,$1.54
"Pasta - Lasagna Noodle, Frozen",$13.42
Fish - Bones,$25.04
"Pasta - Penne Primavera, Single",$10.14
"Orange - Canned, Mandarin",$10.73
Salt - Seasoned,$1.18
V8 Splash Strawberry Kiwi,$3.58
Flour - Strong,$7.27
Cheese - Feta,$17.86
"Tart Shells - Sweet, 3",$15.20
"Star Anise, Whole",$10.67
Pickle - Dill,$29.57
Cocktail Napkin Blue,$4.26
Cream Of Tartar,$10.43
"Pepper - Black, Whole",$11.70
Icecream - Dstk Super Cone,$8.01
Salmon - Canned,$25.30
Beets - Pickled,$3.09
Wiberg Super Cure,$19.96
Sausage - Blood Pudding,$7.08
Dooleys Toffee,$28.64
Bag Stand,$18.48
"Pepper - Green, Chili",$12.37
"Ecolab - Orange Frc, Cleaner",$15.49
Container - Clear 16 Oz,$24.48
Salt - Table,$29.27
Wine - Savigny - Les - Beaune,$17.15
Miso - Soy Bean Paste,$16.92
Ginger - Crystalized,$29.76
Pork - Backfat,$2.97
Appetizer - Chicken Satay,$23.76
Sausage - Chorizo,$26.74
"Extract - Vanilla,artificial",$14.19
"Pasta - Rotini, Colour, Dry",$13.13
Cake - Mini Cheesecake,$26.39
"Wine - Red, Lurton Merlot De",$10.26
Nantucket Cranberry Juice,$2.75
Truffle Cups Green,$16.49
Chips Potato Swt Chilli Sour,$15.89
"Brandy - Orange, Mc Guiness",$17.18
Jameson - Irish Whiskey,$5.34
Chocolate - Dark,$9.40
Strawberries - California,$22.26
Sage - Ground,$9.12
Table Cloth 54x72 Colour,$24.52
Soup - Campbells Beef Stew,$20.37
Wine - Vidal Icewine Magnotta,$10.80
Calypso - Strawberry Lemonade,$21.32
Spinach - Spinach Leaf,$2.99
Veal - Heart,$18.58
"Yogurt - Cherry, 175 Gr",$21.29
Veal - Liver,$9.98
Foil Wrap,$3.66
Smoked Tongue,$11.06
Veal - Striploin,$7.80
Creme De Cacao Mcguines,$24.02
Beans - Butter Lrg Lima,$17.34
Pork - Inside,$27.87
"Basil - Primerba, Paste",$22.98
Pie Pecan,$9.34
Bread - Raisin Walnut Oval,$5.55
"Wine - Magnotta - Red, Baco",$3.15
"Beef - Tenderlion, Center Cut",$5.95
Sherbet - Raspberry,$25.05
True - Vue Containers,$17.47
Stainless Steel Cleaner Vision,$4.89
Beef - Inside Round,$24.82
Bacardi Breezer - Strawberry,$21.23
Appetizer - Tarragon Chicken,$9.72
Tea - Herbal - 6 Asst,$25.09
Vodka - Moskovskaya,$27.30
"Cheese - Romano, Grated",$19.72
Dc - Sakura Fu,$20.07
Urban Zen Drinks,$19.52
Wine - Gato Negro Cabernet,$20.17
Rootbeer,$9.98
Creme De Menth - White,$11.98
Beer - Molson Excel,$20.22
"Rice Pilaf, Dry,package",$9.51
Nougat - Paste / Cream,$20.53
Wine - Pinot Noir Pond Haddock,$19.83
Corn Syrup,$27.68
Bandage - Flexible Neon,$26.09
Chocolate - White,$1.26
Dasheen,$22.40
Mushroom - Lg - Cello,$27.01
"Bread - Pullman, Sliced",$29.62
French Kiss Vanilla,$5.08
"Tart Shells - Sweet, 4",$26.89
Tuna - Sushi Grade,$8.29
"Bread - Dark Rye, Loaf",$12.93
Water - Evian 355 Ml,$5.02
"Veal - Leg, Provimi - 50 Lb Max",$1.49
Salmon Steak - Cohoe 8 Oz,$20.80
"Jam - Strawberry, 20 Ml Jar",$4.77
"Wine - White, Pinot Grigio",$7.99
"Cheese - Boursin, Garlic / Herbs",$20.55
Chicken - Livers,$9.44
Bay Leaf,$8.60
Cake - Box Window 10x10x2.5,$15.14
Flour - Fast / Rapid,$11.97
Cups 10oz Trans,$20.10
Parsley - Fresh,$20.62
"Mushrooms - Black, Dried",$4.18
Wine - Chardonnay Mondavi,$3.45
Curry Powder,$29.67
Bag Stand,$2.65
Muffin - Mix - Bran And Maple 15l,$17.44
Tea - Jasmin Green,$20.74
Beer - True North Lager,$5.08
Raisin - Golden,$10.98
Raspberries - Fresh,$1.34
"Rum - Coconut, Malibu",$11.54
"Nut - Walnut, Chopped",$10.64
Lettuce - Baby Salad Greens,$23.88
Salt - Seasoned,$26.89
Wine - Valpolicella Masi,$12.92
"Pepper - Green, Chili",$24.05
"Ecolab - Orange Frc, Cleaner",$28.09
Water - Green Tea Refresher,$25.71
Vol Au Vents,$6.36
Sauce - Plum,$22.61
Wine - Fino Tio Pepe Gonzalez,$10.31
"Leeks - Baby, White",$1.31
"Crush - Grape, 355 Ml",$21.60
Calypso - Pineapple Passion,$18.53
Onions - Vidalia,$13.84
Beef - Shank,$17.98
"Nut - Peanut, Roasted",$22.05
Tomatoes - Hot House,$24.74
Muffin Mix - Oatmeal,$4.87
"Soup - Canadian Pea, Dry Mix",$15.35
Bread - Granary Small Pull,$22.03
Longos - Grilled Veg Sandwiches,$8.69
Soup Campbells Mexicali Tortilla,$6.93
Beef Flat Iron Steak,$10.34
Vinegar - White,$2.68
Cinnamon - Stick,$18.69
Mousse - Banana Chocolate,$6.55
Ecolab Crystal Fusion,$20.05
Wood Chips - Regular,$9.36
Pork - Back Ribs,$4.63
Lambcasing,$21.20
Croissants Thaw And Serve,$12.16
"Bread - Dark Rye, Loaf",$27.37
"Bread - Sticks, Thin, Plain",$20.20
"Olives - Black, Pitted",$9.41
Corn Kernels - Frozen,$14.73
Godiva White Chocolate,$29.98
"Pepper - White, Ground",$24.42
Chocolate Bar - Smarties,$27.57
Orange Roughy 4/6 Oz,$28.22
Teriyaki Sauce,$17.25
Piping Jelly - All Colours,$18.74
Chicken Thigh - Bone Out,$24.30
Lobster - Tail 6 Oz,$25.06
"Nestea - Ice Tea, Diet",$26.90
"Pork - Butt, Boneless",$9.67
"Zucchini - Mini, Green",$28.53
"Pork - Tenderloin, Frozen",$27.90
Turkey Leg With Drum And Thigh,$16.40
"Nut - Almond, Blanched, Whole",$24.85
Puree - Raspberry,$15.95
Foam Espresso Cup Plain White,$13.51
"Cherries - Maraschino,jar",$9.04
Pie Shell - 9,$11.30
Soup Campbells,$6.35
Sole - Fillet,$20.02
Chevere Logs,$17.75
Cheese Cloth No 60,$4.86
Longos - Burritos,$11.96
Beef - Inside Round,$10.29
Raisin - Golden,$25.48
"Veal - Round, Eye Of",$9.48
"Oil - Truffle, Black",$2.42
Cheese - Sheep Milk,$16.80
Tart - Raisin And Pecan,$28.89
Bread - Raisin,$15.71
Ice Cream - Fudge Bars,$6.98
Squid - Breaded,$1.38
Cinnamon - Ground,$7.24
Shrimp - 100 / 200 Cold Water,$9.88
"Ecolab - Orange Frc, Cleaner",$9.99
Tea - Lemon Scented,$26.02
Tahini Paste,$25.15
Beer - True North Lager,$28.08
Cookie Trail Mix,$3.82
Pastry - Cherry Danish - Mini,$20.03
Pastry - Baked Scones - Mini,$12.44
Sprouts - Peppercress,$27.49
Marjoram - Fresh,$20.44
Island Oasis - Sweet And Sour Mix,$29.90
Honey - Lavender,$19.71
"Wine - Red, Pelee Island Merlot",$25.75
Cabbage - Green,$15.18
Mayonnaise,$3.91
"Pepsi, 355 Ml",$13.30
"Crush - Grape, 355 Ml",$1.13
Table Cloth 62x114 Colour,$8.27
"Wine - Red, Pelee Island Merlot",$22.97
Wine - Ice Wine,$15.68
Lime Cordial - Roses,$5.25
Soup - Campbellschix Stew,$11.80
Gelatine Leaves - Envelopes,$12.70
Mousse - Passion Fruit,$28.55
Yoplait Drink,$5.83
"Salt - Rock, Course",$8.86
Pastry - Plain Baked Croissant,$15.04
"Napkin - Cocktail,beige 2 - Ply",$29.47
Bag Stand,$26.26
Yeast Dry - Fleischman,$27.98
"Mushroom - Enoki, Dry",$5.41
Cake - Cheese Cake 9 Inch,$22.62
Dried Peach,$20.75
"Wine - Red, Concha Y Toro",$2.24
Grapefruit - White,$5.92
"Rum - Light, Captain Morgan",$2.98
Sandwich Wrap,$8.04
Salt And Pepper Mix - White,$10.76
Salmon - Canned,$12.61
Cheese - Mozzarella,$7.80
Muffin - Mix - Creme Brule 15l,$23.48
Carbonated Water - Strawberry,$7.70
Flour - Chickpea,$9.31
Versatainer Nc - 9388,$8.72
Ketchup - Tomato,$6.76
Ice Cream Bar - Oreo Cone,$16.69
Bread Crumbs - Japanese Style,$15.85
"Artichoke - Bottom, Canned",$29.10
"Cherries - Bing, Canned",$1.42
Icecream Cone - Areo Chocolate,$3.89
Shrimp - Black Tiger 6 - 8,$3.82
Versatainer Nc - 9388,$5.16
Lamb Tenderloin Nz Fr,$12.12
"Pork - Sausage, Medium",$25.39
Wine - Cave Springs Dry Riesling,$25.83
Wine - Delicato Merlot,$20.83
Grapefruit - White,$2.48
Food Colouring - Red,$20.34
"Nut - Hazelnut, Whole",$17.48
Croissants Thaw And Serve,$22.59
Ocean Spray - Ruby Red,$4.66
"Beef - Kindney, Whole",$25.38
Boogies,$7.25
Cloves - Whole,$6.45
Cheese - Bocconcini,$17.58
Broom - Angled,$9.20
Pail For Lid 1537,$26.12
Pepper - Green,$20.26
Cheese - Perron Cheddar,$2.44
Sausage - Meat,$15.94
Squash - Guords,$24.78
Grapes - Red,$21.85
Longos - Grilled Chicken With,$28.64
Beef - Flank Steak,$3.33
Salad Dressing,$1.53
Cup - Translucent 7 Oz Clear,$3.55
Ecolab - Medallion,$21.66
Icecream Bar - Del Monte,$19.25
Lobak,$9.26
Nantucket - Orange Mango Cktl,$14.26
Curry Powder Madras,$24.80
Table Cloth 90x90 White,$20.67
Beef - Ground Medium,$11.55
Breakfast Quesadillas,$10.85
Oil - Peanut,$14.35
Truffle Cups Green,$24.46
Galliano,$18.22
"Nut - Walnut, Chopped",$13.55
Wine - Trimbach Pinot Blanc,$20.78
Bagels Poppyseed,$22.36
Jolt Cola - Red Eye,$9.43
"Wine - Magnotta, Merlot Sr Vqa",$6.20
"Sprite, Diet - 355ml",$2.70
Smoked Paprika,$9.67
Meldea Green Tea Liquor,$14.60
Carbonated Water - Lemon Lime,$3.83
Filo Dough,$10.86
Rice - Aborio,$9.61
Filter - Coffee,$19.95
Absolut Citron,$6.62
Pastry - Apple Large,$22.34
"Tomatoes - Vine Ripe, Yellow",$24.06
Shichimi Togarashi Peppeers,$14.64
Soupfoamcont12oz 112con,$15.85
Bagel - Ched Chs Presliced,$17.43
Ecolab Silver Fusion,$6.12
Wine - Kwv Chenin Blanc South,$25.02
Pate - Peppercorn,$7.45
Lemon Tarts,$27.38
"Wine - White, Lindemans Bin 95",$19.74
Wine - Riesling Dr. Pauly,$12.87
Maple Syrup,$5.48
Beer - Blue,$29.70
Bagelers,$6.78
Puree - Passion Fruit,$1.35
"Veal - Brisket, Provimi, Bone - In",$21.50
Mustard Prepared,$23.25
Bar Mix - Lime,$6.30
Nacho Chips,$14.67
"Beef - Rib Roast, Capless",$22.55
